Description ,NLCD 1992 class code ,NLCD 2001 class code,Modified Anderson Level 1 class code
Open water ,11,11,1
"Perennial ice, snow ",12,12,8
"Urban, recreational grasses ",85,21,2
Low intensity residential ,21,22,2
High intensity residential ,22,23,2
"Commercial, industrial, roads ",23,24,2
"Bare rock, sand ",31,31,3
"Quarry, strip mine, gravel pit ",32,31,3
Transitional barren ,33,31,3
Deciduous forest ,41,41,4
Evergreen forest ,42,42,4
Mixed forest ,43,43,4
Shrubland ,51,52,5
"Orchards, vineyards, other ",61,82,6
"Grasslands, herbaceous ",71,71,5
"Pasture, hay ",81,81,6
Row crops ,82,82,6
Small grains ,83,82,6
Fallow ,84,82,6
Woody wetlands ,91,90,7
"Emergent, herbaceous wetland ",92,95,7
