SiteID,Latitude,Longitude,Shannon
2,41.6,-82.71355,2.701900621
4,41.49,-81.58221,2.273499003
7,41.67543,-81.23817,2.168488935
8,41.69765,-81.23497,2.136221833
10,41.67,-83.68,1.688935118
11,41.58489,-81.08202,2.178338492
12,41.14,-81.58154,2.442706219
15,38.78935,-84.12704,1.961652516
16,39.58929,-82.60757,2.674914242
17,41.26339,-81.55956,2.235235419
18,41.19286,-81.5819,2.572328373
22,40.75,-84.32747,1.694119648
23,41.32489,-82.08527,2.24259415
24,39.82239,-81.72321,1.94243307
26,39.82239,-81.72321,3.10071285
27,39.64143,-84.17648,2.902963821
28,38.8401,-83.574,2.602326189
31,38.7009,-83.2233,2.324665203
35,41.81,-81.12038,2.302790093
37,40.68,-81.64378,1.963151545
43,39.127206,-84.247497,2.622258571
46,39.11598,-84.49177,2.268689896
52,39.670337,-82.934572,2.738967195
53,39.764668,-82.853121,2.929658744
54,40.115935,-82.959333,2.553060394
55,40.199097,-82.94552,2.882837843
56,40.150456,-83.02467,2.4506317
57,40.009164,-83.017998,1.696923805
58,39.93789,-83.001136,2.063167245
60,41.43,-82.65646,2.761765932
61,39.892268,-82.912298,2.039845351
63,40.071368,-82.872609,3.268516045
64,39.977801,-82.413,2.460094011
65,39.844136,-81.867678,2.605011169
66,40.671907,-81.64278,2.98190627
67,41.112464,-81.737013,2.645718374
71,41.39,-82.82263,1.840713464
73,41.542294,-81.630568,1.829417802
77,41.401495,-82.597944,2.674926871
78,41.392134,-82.830097,3.143470609
79,41.584495,-82.84207,1.481442358
84,41.671585,-83.782906,3.236150911
85,41.555663,-83.854468,3.107278261
86,41.50023,-83.793894,2.517848304
87,40.955939,-83.549218,2.401792731
88,40.761087,-84.05672,2.720351378
95,40.18185927,-83.94870243,2.119869423
96,39.217521,-82.970662,2.870558884
97,39.397417,-82.945427,2.399170595
99,39.953743,-83.713381,2.219986696
101,41.042106,-81.850496,1.833342782
103,41.317281,-81.595554,2.251435296
106,41.419268,-81.360637,2.588085528
107,41.422241,-81.417216,2.458759222
108,41.580575,-81.429467,2.233139824
109,41.609751,-81.331238,2.808753264
110,41.583384,-81.079681,1.453108428
